,approach,num_person,average_real_time_requirement_t1,std_real_time_requirement_t1,average_real_time_requirement_t2,std_real_time_requirement_t2,average_sim_time_requirement_t1,std_sim_time_requirement_t1,average_sim_time_requirement_t2,std_sim_time_requirement_t2,average_speed_t1,std_speed_t1,average_speed_t2,std_speed_t2,average_acceleration_t1,std_acceleration_t1,rms_acceleration_t1,max_acceleration_t1,average_acceleration_t2,std_acceleration_t2,rms_acceleration_t2,max_acceleration_t2,average_min_distance_t1,std_min_distance_t1,average_min_distance_t2,std_min_distance_t2
0,human_aware_navigation,10_persons,38,1.788854382,46,2.28035085,351.5,81.72912578,420.5,100.5417824,0.327395666,0.012387789,0.376330392,0.009494305,0.001208827,0.000363457,0.001262285,0.002018511,-0.001111551,0.000332675,0.001160266,-0.000631105,4.521636815,0.142752546,3.31976197,0.155938773
1,human_aware_navigation,20_persons,38.8,0.748331477,47.2,4.707440918,402.6,52.99094262,482.4,87.4667937,0.322438535,0.008078278,0.366236632,0.020969921,0.000899919,0.000203136,0.000922561,0.001258927,-0.000591936,0.000435632,0.000734958,0.000274864,4.227314971,0.111160217,2.089134303,0.121767754
2,human_aware_navigation,5_persons,36.6,0.663324958,44.1,1.3,393.5,22.09637979,480,40.51419504,0.338410042,0.001102236,0.384508911,0.006479215,0.00094519,8.97E-05,0.000949437,0.001077878,-0.000853115,0.000220737,0.000881209,-0.00020787,5.358579485,0.049993681,6.039793489,0.215970774
3,move_base,10_persons,40.5,0.670820393,49,3.224903099,392.6,20.95328137,503.8,36.87221176,0.306208175,0.005510381,0.341835652,0.019986893,0.000204454,1.25E-05,0.000204834,0.000222816,-0.000970649,0.000167294,0.00098496,-0.000493689,4.419927821,0.04807882,3.578333258,0.522612723
4,move_base,20_persons,41.4,2.059126028,48.2,3.18747549,447.9,49.86070597,542.3,108.9247906,0.299604486,0.012172032,0.341708277,0.016675474,0.000231863,0.000178424,0.000292567,0.000759781,-0.000824031,9.61E-05,0.00082962,-0.000633306,4.132531903,0.142850598,2.414909246,0.167037629
5,move_base,5_persons,39.8,0.871779789,49.4,2.2,386.3,19.22524382,500.6,46.3318465,0.310735563,0.005828619,0.342849266,0.017230271,0.000206248,9.97E-06,0.000206489,0.000224971,-0.000997229,9.54E-05,0.001001785,-0.000752074,5.029767942,0.088575072,5.146630493,0.755250623
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.001087859,0.00096276,0.001777404,0.002018511,0.001136518,0.001109296,0.001104557,0.001116687,0.00100083,0.000773854,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.001208827,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.000363457,,,,,,,,,,,,,
